Method	k	dataset	nF	run	trainTime	testTime	MacroF1	microF1
KRI	2	reuters21578	7000	1	208.5480599	285.647716	0.5943194817	0.8474917349
RI	2	reuters21578	8000	1	1.745433092	0.07268285751	0.5547340804	0.8465950875
KRI	2	reuters21578	8000	1	187.852608	260.6657269	0.5789460241	0.848073871
RI	2	reuters21578	9000	1	1.750253916	0.05930113792	0.5638939328	0.8514009095
KRI	2	reuters21578	9000	1	170.804208	240.010509	0.5701991742	0.8531528938
RI	2	reuters21578	15000	1	1.741983891	0.0622420311	0.5578646095	0.8508011172
KRI	2	reuters21578	15000	1	125.510402	183.599422	0.5823874421	0.8546217272
RI	2	reuters21578	2500	2	1.639183044	0.06194090843	0.548461583	0.8376220053
KRI	2	reuters21578	2500	2	491.005327	696.774271	0.5805851581	0.8315804639
RI	2	reuters21578	6000	2	1.741494894	0.07122206688	0.5569401497	0.8459499264
KRI	2	reuters21578	6000	2	243.2662089	328.517843	0.5805782622	0.8463868455
RI	2	reuters21578	7000	2	1.754864931	0.06028604507	0.5561424399	0.8455093341
KRI	2	reuters21578	7000	2	210.6956499	287.2613959	0.5779995951	0.8476478205
RI	2	reuters21578	8000	2	1.75606513	0.06058883667	0.5572325444	0.8480305703
KRI	2	reuters21578	8000	2	191.565073	266.2027259	0.5821577874	0.8482400462
RI	2	reuters21578	9000	2	1.744270802	0.06108403206	0.5556154029	0.8483956432
KRI	2	reuters21578	9000	2	171.9169421	239.095659	0.5714805927	0.8501079914
RI	2	reuters21578	15000	2	1.752449036	0.06473708153	0.5569242379	0.8506388603
KRI	2	reuters21578	15000	2	126.4039671	184.6652329	0.5959588194	0.8591224018
RI	2	reuters21578	2500	3	1.645684004	0.07441306114	0.5487710021	0.8362081675
KRI	2	reuters21578	2500	3	487.296839	693.0775309	0.57290416	0.8298909925
RI	2	reuters21578	6000	3	1.742480993	0.0810790062	0.5562529365	0.8465842167
KRI	2	reuters21578	6000	3	241.981225	325.892957	0.5820440015	0.8506307339
RI	2	reuters21578	7000	3	1.746203899	0.09507918358	0.5577345919	0.845124283
KRI	2	reuters21578	7000	3	211.998359	291.5536511	0.5936276679	0.8536515239
RI	2	reuters21578	8000	3	1.752952099	0.06575703621	0.5532784177	0.8472140762
KRI	2	reuters21578	8000	3	188.3372321	264.0734448	0.5761064269	0.8478479919
RI	2	reuters21578	9000	3	1.644783974	0.05891609192	0.5557702705	0.847672363
KRI	2	reuters21578	9000	3	174.1539111	242.345865	0.5721021398	0.8529454126
